gene,log2FC,p_value
BRCA1,1.5921985477922493,5.157186194265924e-06
ERCC1,0.9066426741009815,1.4917354152973557e-10
CD22,0.5854667590923457,0.2732241946809075
SEMA3B,2.5047718405999366,0.005974837792392642
MBTPS2,0.8308943752715799,5.885363381948191e-07
PRICKLE3,1.1042756755517544,1.845150900769647e-08
LTF,1.7979722122034802,0.15821051539436765
EXTL3,1.4459533430569806,4.2442832085655e-08
NR1H4,0.13064717340757698,0.2902793627600826
ELOVL5,1.0783104568512314,6.128078816626744e-07
ALOX5,1.3048944152309052,0.1462529895850024
KDM5D,0.6595061179715009,0.09296181406993632
CALCOCO1,0.49760607538201196,0.0002198306169107157
UBR7,0.9541910769115705,1.8635638951221922e-05
MAP4K5,0.6971667289220033,0.00013781719742373083
EHD3,-1.3754196745441027,7.054584162053015e-08
PSMC4,1.3238767162736411,4.1113087534184105e-14
MAN2B2,0.4594097217514715,0.0017369072873371957
SLC7A14,3.164089367214884,0.006276100485359835
CLDN11,0.19533246828464135,0.7197034235303998
SLC25A39,1.5840481641917092,2.2043935130687203e-12
MVP,1.3187898396985047,4.025106322125328e-08
NUB1,1.030362588918928,5.416349868150846e-11
PGM3,0.3013180933930102,0.07800797226791928
RWDD2A,0.3980489467058936,0.002274346094959473
CLK1,0.24626905112196115,0.08580913046821358
POLR3B,0.43208412058422574,0.0010851210005490665
ANGEL1,0.8822473223351553,1.687033571064738e-05
RNF14,0.9033851523577351,3.533006514682082e-10
DNASE1L1,1.0368203365930413,9.252357834836986e-06
DDX11,1.6114876370173927,4.2966159967890795e-08
HEBP1,-0.1077470408062604,0.4014042243401519
GPRC5A,0.969487628826271,0.43010430068472005
MAMLD1,1.4172453051907576,0.00222356988423352
CD6,0.19632161962050318,0.6822283681217828
TACC3,2.4055662326395364,7.91835050191061e-10
UFL1,0.36561197643921534,0.00733425859887514
POLA2,1.9845800823620707,1.7086066149185165e-10
ZC3H3,1.839342115288098,2.0459590115296664e-12
CAPN1,1.1909334147424515,2.8204574229598353e-10
ACP3,0.5788025206618818,0.38701088888506097
MDH1,0.9350186145761126,2.8233692590930944e-10
SLC30A9,0.7850997107276061,8.29831070192407e-06
MTMR11,2.4969368676639707,4.667718040199594e-05
COX15,0.5527782822557705,2.3472057058422904e-07
CCDC88C,0.43305144058838796,0.13987225352239113
YAF2,0.15644148800513374,0.0915156693231897
ZMYND11,0.6989358153043627,2.986356300908617e-06
WAS,0.2614883844793954,0.29031420966584387
DPEP1,2.268361194165583,0.004615609335208389
BID,1.0223921472118036,1.1722809342700579e-07
MATR3,0.9572834232931285,0.00011417688747799521
NPC1L1,0.11814765829338714,0.70496982309074
XYLT2,1.4374382672313788,1.227937634368897e-09
RGPD5,0.9442304613813782,0.029979443510842557
STMN4,1.130572902279073,0.1137537563158121
NUDCD3,1.1879782075850223,4.531272946871899e-12
ISL1,2.0971305592468963,0.06816622463465884
CHDH,0.6455063135069464,3.4975980341834746e-05
IL20RA,-0.581780467382429,0.2596082298231173
CLCA1,6.46055587951748,0.3275839322366325
CLCA4,1.815443602706759,0.1574284939968957
GLT8D1,0.5923386643279086,9.648984884154395e-05
ATP2C1,1.0599014237130728,2.683976017867506e-08
IGF1,-0.616705355843396,0.022830468279296173
SLC38A5,1.6192985452546598,0.06144184940279236
RALBP1,1.1970206012936089,2.0614001439942717e-09
RUFY3,0.5996947814269633,4.228209299802718e-06
CNTN1,2.031218843455984,0.2096058700050198
SLC11A1,0.23047554361189682,0.4739753435665175
WWTR1,0.6837164476780826,0.003174967930575162
AGPS,0.8456426747470372,2.434907398336569e-05
CXorf56,1.1073717998384651,4.719461088632042e-08
ATP1A2,2.4683950200589786,0.0041214151384438005
TTC27,1.2341579982119475,9.897036548983172e-09
ZNF582,0.5542693354743616,0.018126068985957682
VSIG2,-0.034039685608913274,0.9585502911054262
PHLDB1,0.9099916353455022,0.0007878088266611977
MARCO,-5.011313598570063,2.3203251715404443e-11
CYP24A1,2.1803909000264867,0.13976310380806783
PRDM11,0.7714906914723142,0.0001835046976818864
SYT13,2.5597481395542467,0.17060014867875048
SNAI2,1.7210509393557145,0.0011493422813855724
CD74,0.7209178930988058,0.015078939622192533
HGF,-1.8058011081555458,1.7797418413230514e-08
ZRANB1,0.3679221394004678,0.05793299351319646
NCDN,1.374873705642509,1.5482941165659376e-07
ADGRA2,0.5443640305567754,0.0533915465630234
ZFP64,1.3770967575063089,1.0929727188837865e-11
MNAT1,0.8180404082133951,2.3150563702403783e-07
SAMD4A,-0.03740399750056312,0.8006199466040536
RUNX3,-0.12667669955802316,0.6638937929982536
MRE11,1.178706715465477,6.268572048376888e-08
PLEKHB1,-0.09072464919178722,0.8059414603013436
SERPINB1,0.8755574640417011,3.2910603484186967e-06
CYP3A43,-1.6163004096787172,9.113349576817961e-08
SLC7A9,0.6611103501679716,0.0001888893920521573
SPAST,0.9723195216941616,1.72321706528765e-08
NRXN3,2.430002478455141,0.05122296493551466
OSBPL5,0.6183535406707193,0.016533644559363205
AQR,0.7380837271165284,2.3167929425297716e-07
CPS1,-0.18837923855923458,0.43971944211620784
C8B,-0.8025768582948515,7.64462196737587e-09
FHL1,-0.3007740820494637,0.2709956179218864
RTF2,0.9439055611883447,5.41672007595433e-12
GABRA1,0.3912813760262354,0.7208542398510502
NLRP2,1.0124761027867935,0.1509195593649438
SLC45A4,2.656270730557178,0.0009839616697779432
RNF10,0.8459322817885205,2.6953499477553913e-11
ZNF839,0.8894613463235161,1.5870882858274228e-05
ZDHHC6,0.7098047451557177,3.4305396153499287e-08
GRAMD1B,2.259590101442155,0.04032783345897132
RNH1,0.8656398889278097,5.710692606229332e-10
NDUFS1,0.45524900176732785,0.0005715092535213625
RB1CC1,1.2234729216686204,4.319558404731572e-08
ERP44,0.4916897950025057,2.6981644303294855e-07
ALAS1,-0.5263679586330604,0.029487355182325273
BIRC3,2.0249493440371467,0.03619772508743756
AKAP11,0.45117518981376176,0.009309654555760341
GLRX2,1.1950737024010256,1.0482514580644763e-11
SNAPC1,0.5071768321222146,0.021491720622606784
DERA,0.18816816804417869,0.0843648031631152
STRAP,0.8173867911450456,3.79234188470664e-09
ABCC2,0.6919979581638237,0.005309975775843507
DEF6,0.529068450564067,0.07121552152513608
PLEKHO1,0.6854567041238531,0.009654181314009375
GCLM,1.2362899750036758,0.009514897256281926
UBR2,0.5364035831481162,0.0002680853573701938
EHD2,1.9687695677306074,0.00021187458359188483
DEPDC1,4.881446748826395,0.00011190320743563893
CCDC28A,-0.15470392059901483,0.09565312956952622
RRAGD,1.487332845581305,8.268027377222555e-07
HSF2,1.1500519511896878,3.1614536811885136e-08
PHF20,1.0085312621483624,8.079401375346584e-10
HSD17B6,-0.46704482657677643,0.0017435558086942846
NR1H3,0.4561453844379435,2.3324525029405032e-05
TYMP,1.24009987827571,2.2243898730099968e-05
NCAPH2,1.441000428938649,3.6668735981836236e-13
TOMM34,1.1711801540555875,5.72786652153513e-10
SEC63,0.4902045148708767,0.0001555159114408826
KPNA6,0.6870084061704245,1.1788048966956047e-05
VIM,0.97195323168481,0.0007372358530036699
RTEL1-TNFRSF6B,1.5679974774448444,2.7100842644577406e-06
FAS,0.2623707704460088,0.3021450966083263
RNASET2,0.6185323054953039,0.0005525966770417382
CD44,1.4572394279064131,0.0027616953979582417
KCNG1,2.8987954579610538,0.06677486742567178
AGPAT4,2.0371810868075166,7.816332769237763e-05
SLAMF7,0.3086105227113944,0.6164948611143884
BTN3A1,0.9413764315345257,7.468105041899756e-05
MIPEP,0.3984950448318325,0.013233551864115154
PRKCH,0.39033743400542437,0.07752206398552144
INSRR,3.4851304080939203,0.010050434385531581
IFNGR1,0.4616442110629295,0.07766461877126682
